City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,guerrero negro,27.9769,-114.0611,22.0,20,1,1.17,MX,1675813572
1,mayo,38.8876,-76.5119,9.26,78,0,4.63,US,1675813221
2,butaritari,3.0707,172.7902,27.27,80,100,9.84,KI,1675813323
3,veraval,20.9,70.3667,20.9,63,1,3.5,IN,1675813272
4,graaff-reinet,-32.2522,24.5308,17.18,90,100,3.38,ZA,1675813573
5,tasiilaq,65.6145,-37.6368,-16.91,35,2,17.27,GL,1675813076
6,port alfred,-33.5906,26.891,21.21,91,100,1.79,ZA,1675813574
7,atuona,-9.8,-139.0333,25.86,78,13,6.68,PF,1675813505
8,onega,63.9061,38.1404,0.04,96,100,5.49,RU,1675813259
9,launceston,-41.45,147.1667,17.97,67,100,5.14,AU,1675813550
10,punta arenas,-53.15,-70.9167,16.06,63,40,4.63,CL,1675813578
11,bluff,-46.6,168.3333,11.56,66,73,11.35,NZ,1675813492
12,aktau,43.65,51.2,3.32,76,100,4.81,KZ,1675813581
13,tuatapere,-46.1333,167.6833,12.9,61,64,6.81,NZ,1675813073
14,cape town,-33.9258,18.4232,21.32,73,0,9.77,ZA,1675813581
15,najran,17.4924,44.1277,16.36,64,11,3.07,SA,1675813015
16,bengkulu,-3.8004,102.2655,23.79,80,92,2.35,ID,1675813317
17,yudong,29.385,106.5194,12.5,78,100,0.74,CN,1675813583
18,nome,64.5011,-165.4064,-18.8,77,0,1.54,US,1675813347
19,faanui,-16.4833,-151.75,27.18,74,31,5.57,PF,1675813116
20,airai,-8.9266,125.4092,19.32,83,93,1.11,TL,1675813584
21,puerto ayora,-0.7393,-90.3518,26.97,89,31,3.13,EC,1675813402
22,thompson,55.7435,-97.8558,-16.91,85,100,2.06,CA,1675813155
23,codrington,-38.2667,141.9667,18.41,61,50,6.28,AU,1675813586
24,east london,-33.0153,27.9116,21.69,86,100,5.63,ZA,1675813587
25,akureyri,65.6835,-18.0878,-4.04,74,75,2.57,IS,1675813588
26,ponta do sol,32.6667,-17.1,15.95,67,17,2.62,PT,1675813590
27,rikitea,-23.1203,-134.9692,26.44,70,84,5.01,PF,1675813592
28,aleksandrov gay,50.147,48.5704,-12.54,90,6,6.12,RU,1675813592
29,kintampo,8.0563,-1.7306,28.78,49,91,2.83,GH,1675813593
30,severo-kurilsk,50.6789,156.125,-4.51,58,46,4.12,RU,1675813593
31,jamestown,42.097,-79.2353,9.77,73,40,4.63,US,1675813597
32,leshukonskoye,64.8989,45.7622,-0.89,95,100,4.95,RU,1675813601
33,suriapet,17.15,79.6167,19.4,83,95,2.09,IN,1675813601
34,boyolangu,-8.1181,111.8935,24.05,91,100,2.46,ID,1675813602
35,touros,-5.1989,-35.4608,26.53,67,75,6.9,BR,1675813368
36,kodinsk,58.6881,99.1844,-14.57,98,100,1.31,RU,1675813606
37,busselton,-33.65,115.3333,20.08,68,26,4.5,AU,1675813607
38,kapaa,22.0752,-159.319,27.18,84,100,5.66,US,1675813607
39,hermanus,-34.4187,19.2345,20.45,81,42,5.38,ZA,1675813607
40,goderich,43.7501,-81.7165,2.18,93,100,5.66,CA,1675813190
41,upernavik,72.7868,-56.1549,-29.67,98,73,1.32,GL,1675813608
42,cayenne,4.9333,-52.3333,24.02,100,40,2.06,GF,1675813590
43,ushuaia,-54.8,-68.3,12.81,44,0,1.54,AR,1675813521
44,gebre guracha,9.8,38.4,11.87,28,2,1.74,ET,1675813608
45,atar,20.5169,-13.0499,16.35,25,94,5.4,MR,1675813115
46,egvekinot,66.3167,-179.1667,-29.8,88,97,3.67,RU,1675813609
47,longyan,25.1072,117.0225,16.03,98,100,1.32,CN,1675813609
48,tambura,5.6,27.4667,22.88,18,6,2.44,SS,1675813610
49,dingle,10.9995,122.6711,25.11,85,98,4.36,PH,1675813610
50,margate,51.3813,1.3862,3.72,80,14,0.45,GB,1675813610
51,sisophon,13.5859,102.9737,24.98,78,25,1.86,KH,1675813611
52,akdepe,42.0551,59.3788,6.05,61,100,6.93,TM,1675813349
53,albany,42.6001,-73.9662,2.36,70,100,0.45,US,1675813611
54,ulaangom,49.9811,92.0667,-26.62,93,100,1.25,MN,1675813612
55,arraial do cabo,-22.9661,-42.0278,23.98,90,90,1.2,BR,1675813612
56,parker,32.7668,-97.8003,8.66,91,100,4.02,US,1675813613
57,sorong,-0.8833,131.25,26.06,85,100,3.62,ID,1675813191
